Descriptif de l'échantillon;;"Erpouvette courbe 60°"
Géométrie;;"Rectangulaire"
Épaisseur;(mm);"4.00"
Largeur;(mm);"10.00"
Longueur;(mm);"45.00"

Tableau de résultats 1
;Numéro d'éprouvette;Vitesse d'essai;Contrainte Maximum ;Allongement max;Module de Young ;Contrainte  à Rupture ;Allongement à rupture
;;(mm/min);(MPa);(%);(MPa);(MPa);(%)
"1";"PETG-30-010824-1";"50.00";"32.68";"21.38";"271.15";"5.97";"24.75"
"2";"PETG-30-010824-2";"50.00";"21.23";"12.56";"275.91";"0.03";"32.05"
"3";"PETG-30-010824-3";"50.00";"28.12";"19.75";"269.44";"0.01";"35.49"
"4";"PETG-30-010824-4";"50.00";"32.99";"22.16";"284.15";"2.91";"26.08"
"5";"PETG-30-010824-5";"50.00";"21.82";"12.31";"286.76";"0.00";"30.68"
"6";"PETG-30-010824-6";"50.00";"34.91";"21.16";"279.78";"0.01";"40.53"
"7";"PETG-30-010824-7";"50.00";"21.74";"12.56";"280.48";"0.00";"29.23"
"Moyenne";"";"50.00";"27.64";"17.41";"278.24";"1.28";"31.26"

Tableau de résultats 2


1;Temps;Déplacement;Force;Contrainte de traction;Déformation de traction (Déplacement)
;(s);(mm);(kN);(MPa);(%)
"";"4.4600";"3.7042";"0.7325";"18.3130";"8.2316"
"";"4.4800";"3.7208";"0.7344";"18.3612";"8.2685"
"";"4.5000";"3.7375";"0.7363";"18.4083";"8.3055"
"";"4.5200";"3.7541";"0.7383";"18.4566";"8.3424"
"";"4.5400";"3.7708";"0.7401";"18.5035";"8.3796"
"";"4.5600";"3.7874";"0.7420";"18.5505";"8.4165"
"";"4.5800";"3.8040";"0.7439";"18.5966";"8.4534"
"";"4.6000";"3.8207";"0.7457";"18.6424";"8.4904"
"";"4.6200";"3.8375";"0.7475";"18.6873";"8.5277"
"";"4.6400";"3.8543";"0.7493";"18.7329";"8.5652"
"";"4.6600";"3.8709";"0.7511";"18.7767";"8.6019"
"";"4.6800";"3.8874";"0.7528";"18.8199";"8.6386"
"";"4.7000";"3.9041";"0.7545";"18.8622";"8.6758"
"";"4.7200";"3.9208";"0.7562";"18.9049";"8.7129"
"";"4.7400";"3.9375";"0.7579";"18.9465";"8.7499"
"";"4.7600";"3.9541";"0.7595";"18.9878";"8.7869"
"";"4.7800";"3.9706";"0.7611";"19.0287";"8.8236"
"";"4.8000";"3.9874";"0.7628";"19.0699";"8.8609"
"";"4.8200";"4.0043";"0.7644";"19.1108";"8.8983"
"";"4.8400";"4.0209";"0.7661";"19.1520";"8.9354"
"";"4.8600";"4.0375";"0.7677";"19.1914";"8.9722"
"";"4.8800";"4.0541";"0.7692";"19.2295";"9.0090"
"";"4.9000";"4.0709";"0.7707";"19.2687";"9.0464"
"";"4.9200";"4.0876";"0.7723";"19.3076";"9.0835"
"";"4.9400";"4.1041";"0.7739";"19.3463";"9.1203"
"";"4.9600";"4.1208";"0.7753";"19.3829";"9.1573"
"";"4.9800";"4.1374";"0.7768";"19.4194";"9.1943"
"";"5.0000";"4.1542";"0.7783";"19.4565";"9.2315"
"";"5.0200";"4.1710";"0.7798";"19.4939";"9.2690"
"";"5.0400";"4.1876";"0.7813";"19.5314";"9.3057"
"";"5.0600";"4.2042";"0.7827";"19.5665";"9.3426"
"";"5.0800";"4.2208";"0.7841";"19.6013";"9.3796"
"";"5.1000";"4.2375";"0.7854";"19.6346";"9.4166"
"";"5.1200";"4.2542";"0.7868";"19.6693";"9.4538"
"";"5.1400";"4.2707";"0.7882";"19.7040";"9.4905"
"";"5.1600";"4.2874";"0.7895";"19.7366";"9.5275"
"";"5.1800";"4.3041";"0.7908";"19.7697";"9.5647"
"";"5.2000";"4.3208";"0.7921";"19.8033";"9.6018"
"";"5.2200";"4.3376";"0.7935";"19.8366";"9.6391"
"";"5.2400";"4.3542";"0.7948";"19.8703";"9.6760"
"";"5.2600";"4.3708";"0.7961";"19.9024";"9.7129"
"";"5.2800";"4.3875";"0.7973";"19.9321";"9.7500"
"";"5.3000";"4.4041";"0.7985";"19.9622";"9.7868"
"";"5.3200";"4.4207";"0.7997";"19.9928";"9.8238"
"";"5.3400";"4.4374";"0.8009";"20.0218";"9.8609"
"";"5.3600";"4.4539";"0.8021";"20.0519";"9.8976"
"";"5.3800";"4.4707";"0.8033";"20.0818";"9.9348"
"";"5.4000";"4.4875";"0.8045";"20.1114";"9.9721"
"";"5.4200";"4.5042";"0.8056";"20.1410";"10.0093"
"";"5.4400";"4.5209";"0.8068";"20.1701";"10.0463"
"";"5.4600";"4.5374";"0.8079";"20.1969";"10.0831"
"";"5.4800";"4.5541";"0.8089";"20.2229";"10.1202"
"";"5.5000";"4.5708";"0.8100";"20.2503";"10.1574"
"";"5.5200";"4.5875";"0.8111";"20.2779";"10.1944"
"";"5.5400";"4.6042";"0.8122";"20.3044";"10.2315"
"";"5.5600";"4.6207";"0.8132";"20.3301";"10.2683"
"";"5.5800";"4.6374";"0.8142";"20.3556";"10.3053"
"";"5.6000";"4.6542";"0.8153";"20.3813";"10.3428"
"";"5.6200";"4.6709";"0.8163";"20.4070";"10.3797"
"";"5.6400";"4.6875";"0.8173";"20.4317";"10.4166"
"";"5.6600";"4.7041";"0.8182";"20.4556";"10.4535"
"";"5.6800";"4.7208";"0.8192";"20.4806";"10.4907"
"";"5.7000";"4.7376";"0.8202";"20.5055";"10.5280"
"";"5.7200";"4.7542";"0.8212";"20.5300";"10.5648"
"";"5.7400";"4.7707";"0.8221";"20.5528";"10.6016"
"";"5.7600";"4.7874";"0.8230";"20.5756";"10.6386"
"";"5.7800";"4.8041";"0.8239";"20.5979";"10.6758"
"";"5.8000";"4.8210";"0.8249";"20.6226";"10.7133"
"";"5.8200";"4.8375";"0.8259";"20.6472";"10.7500"
"";"5.8400";"4.8541";"0.8268";"20.6699";"10.7868"
"";"5.8600";"4.8708";"0.8277";"20.6919";"10.8240"
"";"5.8800";"4.8875";"0.8286";"20.7140";"10.8610"
"";"5.9000";"4.9042";"0.8295";"20.7374";"10.8982"
"";"5.9200";"4.9208";"0.8305";"20.7615";"10.9350"
"";"5.9400";"4.9373";"0.8313";"20.7833";"10.9718"
"";"5.9600";"4.9541";"0.8322";"20.8042";"11.0090"
"";"5.9800";"4.9708";"0.8330";"20.8258";"11.0462"
"";"6.0000";"4.9876";"0.8339";"20.8484";"11.0835"
"";"6.0200";"5.0041";"0.8348";"20.8707";"11.1203"
"";"6.0400";"5.0207";"0.8356";"20.8911";"11.1571"
"";"6.0600";"5.0375";"0.8365";"20.9128";"11.1944"
"";"6.0800";"5.0542";"0.8374";"20.9357";"11.2315"
"";"6.1000";"5.0708";"0.8383";"20.9586";"11.2685"
"";"6.1200";"5.0875";"0.8392";"20.9799";"11.3055"
"";"6.1400";"5.1041";"0.8400";"21.0002";"11.3424"
"";"6.1600";"5.1208";"0.8408";"21.0203";"11.3795"
"";"6.1800";"5.1376";"0.8417";"21.0418";"11.4170"
"";"6.2000";"5.1543";"0.8426";"21.0650";"11.4540"
"";"6.2200";"5.1709";"0.8434";"21.0859";"11.4909"
"";"6.2400";"5.1874";"0.8442";"21.1054";"11.5276"
"";"6.2600";"5.2041";"0.8450";"21.1257";"11.5648"
"";"6.2800";"5.2209";"0.8459";"21.1466";"11.6019"
"";"6.3000";"5.2374";"0.8467";"21.1679";"11.6388"
"";"6.3200";"5.2541";"0.8476";"21.1888";"11.6759"
"";"6.3400";"5.2708";"0.8484";"21.2106";"11.7128"
"";"6.3600";"5.2875";"0.8493";"21.2323";"11.7499"
"";"6.3800";"5.3043";"0.8502";"21.2543";"11.7874"
"";"6.4000";"5.3209";"0.8510";"21.2758";"11.8242"
"";"6.4200";"5.3374";"0.8518";"21.2956";"11.8610"
"";"6.4400";"5.3541";"0.8526";"21.3147";"11.8980"
"";"6.4600";"5.3708";"0.8535";"21.3369";"11.9350"
"";"6.4800";"5.3875";"0.8543";"21.3587";"11.9723"
"";"6.5000";"5.4041";"0.8552";"21.3799";"12.0090"
"";"6.5200";"5.4206";"0.8560";"21.4007";"12.0459"
"";"6.5400";"5.4373";"0.8568";"21.4210";"12.0830"
"";"6.5600";"5.4541";"0.8577";"21.4429";"12.1201"
"";"6.5800";"5.4709";"0.8587";"21.4663";"12.1576"
"";"6.6000";"5.4874";"0.8595";"21.4887";"12.1943"
"";"6.6200";"5.5040";"0.8604";"21.5091";"12.2311"
"";"6.6400";"5.5207";"0.8612";"21.5297";"12.2683"
"";"6.6600";"5.5375";"0.8621";"21.5516";"12.3054"
"";"6.6800";"5.5541";"0.8629";"21.5728";"12.3424"
"";"6.7000";"5.5707";"0.8637";"21.5937";"12.3793"
"";"6.7200";"5.5873";"0.8646";"21.6154";"12.4161"
"";"6.7400";"5.6040";"0.8655";"21.6368";"12.4534"
"";"6.7600";"5.6208";"0.8664";"21.6595";"12.4908"
"";"6.7800";"5.6375";"0.8673";"21.6834";"12.5278"
"";"6.8000";"5.6541";"0.8682";"21.7055";"12.5647"
"";"6.8200";"5.6707";"0.8691";"21.7275";"12.6015"
"";"6.8400";"5.6875";"0.8700";"21.7489";"12.6388"
"";"6.8600";"5.7042";"0.8709";"21.7714";"12.6760"
"";"6.8800";"5.7208";"0.8718";"21.7943";"12.7128"
"";"6.9000";"5.7374";"0.8727";"21.8164";"12.7498"
"";"6.9200";"5.7541";"0.8736";"21.8389";"12.7868"
